"","yearid","year_1b","year_2","id_1b","id_2","coninc_1b","coninc_2","race_1b","sexnow_1b","sexnow1_2","affrmact_norm1b","gunlaw_norm1b","partyid_norm1b","affrmact_norm2","gunlaw_norm2","partyid_norm2"
"161",20181361,2018,2020,1361,1390,1402,3024,1,NA,1,1,0,0.666666666666667,1,0,0.666666666666667
"162",20181378,2018,2020,1378,1396,19277.5,18480,1,NA,2,1,0,0.833333333333333,1,0,1
"163",20181403,2018,2020,1403,1406,47317.5,67200,1,NA,2,1,0,0.5,1,0,1
"164",20181428,2018,2020,1428,1413,38555,36960,1,NA,1,0.666666666666667,1,1,0.333333333333333,1,1
"165",20181441,2018,2020,1441,1418,14896.25,55440,1,NA,2,1,1,0.5,1,1,1
"166",20181449,2018,2020,1449,1421,9638.75,9240,1,NA,2,1,0,0.666666666666667,1,0,0.5
"167",20181457,2018,2020,1457,1426,19277.5,18480,1,NA,1,1,1,0.666666666666667,1,1,0.833333333333333
"168",20181468,2018,2020,1468,1431,38555,21840,2,NA,2,0.666666666666667,0,0.166666666666667,0.666666666666667,0,0.5
"169",20181474,2018,2020,1474,1435,26287.5,NA,2,NA,2,0.666666666666667,0,0.5,1,0,0.5
"170",20181482,2018,2020,1482,1440,22782.5,30240,1,NA,2,0.666666666666667,1,0.5,0.666666666666667,1,0.5
"171",20181484,2018,2020,1484,1442,158201.84123,168736.29696,1,NA,2,1,1,0.833333333333333,1,1,1
"172",20181487,2018,2020,1487,1444,112160,107520,1,NA,1,1,0,0.5,1,0,0.666666666666667
"173",20181491,2018,2020,1491,1448,158201.84123,168736.29696,1,NA,1,0.666666666666667,0,0,0.333333333333333,0,0
"174",20181496,2018,2020,1496,1450,31545,25200,1,NA,2,1,0,0.5,1,1,0.666666666666667
"175",20181498,2018,2020,1498,1451,26287.5,10920,3,NA,2,1,0,0.333333333333333,1,0,0
"176",20181503,2018,2020,1503,1454,19277.5,18480,1,NA,2,0.666666666666667,0,0.166666666666667,0.666666666666667,0,0.166666666666667
"177",20181504,2018,2020,1504,1455,38555,25200,1,NA,2,0.666666666666667,0,0,0.666666666666667,1,0.5
"178",20181517,2018,2020,1517,1459,16648.75,18480,1,NA,2,1,0,0.5,0.666666666666667,0,0.666666666666667
"179",20181520,2018,2020,1520,1461,70100,12600,1,NA,2,0.666666666666667,0,0.333333333333333,1,NA,0.5
"180",20181529,2018,2020,1529,1463,26287.5,30240,1,NA,1,0,1,1,1,0,0.5
"181",20181530,2018,2020,1530,1464,9638.75,9240,1,NA,2,1,1,1,1,1,1
"182",20181533,2018,2020,1533,1465,47317.5,36960,2,NA,2,0,0,0,1,0,0.333333333333333
"183",20181565,2018,2020,1565,1480,47317.5,12600,2,NA,2,0,0,0.166666666666667,0.666666666666667,0,0.333333333333333
"184",20181574,2018,2020,1574,1482,16648.75,25200,2,NA,2,1,0,0,0,0,0
"185",20181577,2018,2020,1577,1483,9638.75,9240,2,NA,2,0.666666666666667,0,0,0,1,0
"186",20181579,2018,2020,1579,1485,31545,67200,1,NA,2,0.333333333333333,1,0.333333333333333,0.666666666666667,1,0.5
"187",20181582,2018,2020,1582,1486,38555,36960,1,NA,1,1,1,0.666666666666667,1,1,0.666666666666667
"188",20181590,2018,2020,1590,1487,26287.5,10920,2,NA,1,0,0,0,1,0,0
"189",20181593,2018,2020,1593,1489,9638.75,9240,3,NA,1,0.333333333333333,0,0.5,0.333333333333333,0,0.5
"190",20181606,2018,2020,1606,1496,26287.5,30240,2,NA,2,1,0,0.5,0.666666666666667,0,0.5
"191",20181609,2018,2020,1609,1499,38555,18480,1,NA,2,0,0,0.333333333333333,0.666666666666667,1,0.5
"192",20181611,2018,2020,1611,1500,47317.5,55440,1,NA,1,0.666666666666667,0,0.5,1,0,0.5
"193",20181618,2018,2020,1618,1504,14896.25,14280,1,NA,1,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333
"194",20181624,2018,2020,1624,1508,158201.84123,NA,1,NA,2,0.666666666666667,0,0.833333333333333,0.333333333333333,1,0.833333333333333
"195",20181639,2018,2020,1639,1514,16648.75,30240,1,NA,2,0.333333333333333,1,0.166666666666667,1,0,0.5
"196",20181648,2018,2020,1648,1518,38555,36960,1,NA,2,1,0,0.833333333333333,1,0,1
"197",20181655,2018,2020,1655,1521,98140,168736.29696,1,NA,1,1,0,1,1,0,1
"198",20181667,2018,2020,1667,1524,47317.5,25200,1,NA,2,1,0,1,1,1,1
"199",20181669,2018,2020,1669,1525,112160,107520,1,NA,1,0.666666666666667,0,0.166666666666667,0.666666666666667,0,0.166666666666667
"200",20181679,2018,2020,1679,1529,26287.5,25200,1,NA,1,1,1,0.5,0.666666666666667,0,0.333333333333333
"201",20181692,2018,2020,1692,1534,NA,67200,1,NA,1,1,0,0.166666666666667,0.666666666666667,0,0.666666666666667
"202",20181700,2018,2020,1700,1536,38555,45360,1,NA,1,1,1,0.333333333333333,1,1,0.5
